"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73395",73395,1,1,1,1,2,1,6,1,1,1,1,1,10,840,2,69,8,5,840010,2,1
"73396",73396,1,1,1,1,2,1,7,2,1,1,1,1,10,840,1,48,9,1,840010,96,1
"73397",73397,3,1,1,2,2,1,2,1,2,1,1,3,5,840,2,77,9,3,840010,2,1
"73398",73398,3,1,1,2,2,1,7,2,1,2,1,3,8,840,1,65,9,3,840010,2,1
"73399",73399,1,1,1,1,2,1,2,1,2,1,2,3,10,840,1,79,9,4,840010,2,5
"73400",73400,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,81,6,5,840010,2,5
"73401",73401,1,1,1,1,2,1,2,1,2,1,1,1,9,840,1,31,7,7,840004,1,5
"73402",73402,-1,1,-1,-1,2,1,7,2,2,2,2,-1,5,840,2,32,3,1,840004,96,1
"73403",73403,1,1,1,1,2,1,2,1,2,2,1,1,10,840,2,30,8,1,-2,1,1
"73404",73404,2,1,1,1,2,1,4,1,2,1,1,2,9,840,1,30,8,1,-2,1,1
"73405",73405,2,1,1,1,2,1,5,1,2,1,1,2,4,840,2,50,9,1,840010,2,1
"73406",73406,2,1,1,1,2,1,2,1,2,3,1,1,10,840,2,39,3,7,840004,1,1
"73407",73407,1,1,1,1,2,1,3,1,2,2,1,1,10,840,2,24,4,7,840004,1,1
"73408",73408,2,1,1,1,2,3,2,2,1,1,1,1,9,840,1,55,4,8,840011,2,4
"73409",73409,1,1,1,1,2,1,2,1,1,2,1,1,9,840,2,71,4,4,840011,2,5
"73410",73410,2,1,1,1,2,2,2,1,1,1,1,1,9,840,2,38,5,1,840011,80,6
"73411",73411,1,1,1,1,1,1,1,1,1,1,1,1,10,840,2,70,7,4,840011,2,1
"73412",73412,1,1,1,1,2,1,-1,1,1,2,1,1,10,840,1,23,9,1,840010,2,1
"73413",73413,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,81,9,4,840010,2,5
"73414",73414,3,1,1,2,2,1,4,2,2,1,1,1,6,840,1,44,-1,1,840010,1,1
"73415",73415,1,1,1,1,2,1,7,3,2,1,1,2,10,840,1,58,9,1,840010,96,2
"73416",73416,1,1,1,1,2,1,2,1,2,1,1,1,10,840,2,41,9,2,840010,2,1
"73417",73417,1,1,1,1,2,1,2,1,2,2,1,1,9,840,2,35,9,1,840010,2,1
"73418",73418,2,1,1,1,2,1,1,1,2,1,1,1,10,840,2,55,9,2,840010,1,3
"73419",73419,2,1,1,1,2,1,2,2,1,3,1,2,7,840,2,28,9,1,840010,1,1
"73420",73420,2,1,1,1,2,1,4,3,1,3,1,2,7,840,2,26,9,1,840010,1,2
"73421",73421,2,1,1,1,2,1,-1,1,-1,1,1,1,9,840,1,40,9,1,840010,1,1
"73422",73422,2,1,1,1,2,1,6,3,2,2,2,3,2,840,1,64,8,1,840010,2,1
"73423",73423,4,2,2,2,1,1,7,3,2,4,-1,3,2,840,1,19,4,2,840011,96,6
"73424",73424,2,1,1,2,2,1,4,1,2,1,1,2,9,840,2,46,9,5,840010,1,1
"73425",73425,4,1,1,1,1,1,6,1,2,3,-1,2,5,840,2,36,8,2,840010,5,1
"73426",73426,4,1,1,1,1,5,6,3,2,3,-1,1,5,840,2,18,3,2,840010,96,6
"73427",73427,3,1,1,1,2,1,3,2,1,2,1,2,5,840,1,28,9,3,840010,96,1
"73428",73428,1,1,1,1,2,1,1,2,1,2,1,1,10,840,2,40,3,5,840010,99,1
"73429",73429,3,-1,-1,-1,1,2,5,3,2,3,-1,2,-1,840,1,35,3,7,840010,99,1
"73430",73430,2,1,1,1,2,1,2,2,1,3,1,1,10,840,2,56,4,1,840010,1,1
"73431",73431,3,1,2,1,2,1,7,3,2,2,1,3,8,840,1,79,5,4,840010,2,1
"73432",73432,2,1,1,1,2,1,3,1,2,3,1,1,9,840,1,73,3,4,840010,1,1
"73433",73433,2,1,1,1,2,1,7,3,1,2,1,2,10,840,2,60,5,5,840010,96,1
"73434",73434,2,1,1,1,2,1,4,2,1,1,1,2,8,840,1,40,6,6,840010,1,6
"73435",73435,1,1,1,1,2,1,1,1,1,2,1,1,10,840,1,37,9,1,840010,80,1
"73436",73436,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,39,5,1,840010,80,1
"73437",73437,1,1,1,1,2,1,1,1,1,3,1,1,10,840,2,63,8,1,840010,2,3
"73438",73438,2,1,1,1,1,1,2,1,3,1,1,1,10,840,2,73,9,4,840010,2,3
"73439",73439,3,1,1,1,2,1,7,3,2,2,2,3,3,840,1,55,9,1,840010,96,1
"73440",73440,2,1,1,1,1,10,6,3,1,1,1,1,10,840,1,42,9,1,840009,96,1
"73441",73441,2,1,1,1,2,1,2,1,1,2,1,2,7,840,2,68,8,-2,840010,2,1
"73442",73442,1,1,1,1,2,1,2,1,2,1,1,1,10,840,1,49,5,1,840004,1,1
"73443",73443,1,1,1,1,2,1,3,1,2,1,1,2,10,840,1,61,3,4,840004,1,1
"73444",73444,1,1,1,1,2,1,1,1,2,2,1,1,10,840,2,59,2,5,840004,1,1
"73445",73445,1,1,1,1,2,1,2,1,2,1,1,1,10,840,2,25,5,5,840004,1,1
"73446",73446,1,1,1,1,2,1,2,1,2,2,1,1,10,840,1,18,7,6,840004,1,6
"73447",73447,2,1,2,1,1,3,6,1,3,1,2,1,6,840,2,58,3,1,840010,96,3
"73448",73448,1,1,1,1,2,2,2,1,1,2,1,1,10,840,2,40,4,5,840004,1,1
"73449",73449,1,1,1,1,2,2,3,2,2,2,2,1,5,840,2,79,8,4,840010,2,5
"73450",73450,3,1,1,1,2,1,2,1,1,1,1,1,10,840,1,40,9,1,840011,80,1
"73451",73451,1,1,1,1,2,1,2,1,2,1,1,1,10,840,1,29,9,1,840011,80,1
"73452",73452,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,33,9,1,840011,80,1
"73453",73453,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,38,7,5,840010,1,1
"73454",73454,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,47,8,1,840010,1,3
"73455",73455,3,1,1,-1,2,1,4,2,2,3,-1,3,5,840,1,54,7,1,840010,1,1
"73456",73456,2,1,1,1,2,1,4,2,2,4,1,3,6,840,1,36,8,1,840010,80,1
"73457",73457,1,1,1,1,2,1,3,1,1,1,1,1,10,840,2,31,5,1,840010,80,1
"73458",73458,2,1,1,1,2,1,5,2,1,3,1,1,10,840,2,27,3,-2,840010,96,1
"73459",73459,1,1,1,1,1,6,6,1,1,2,1,1,8,840,1,30,5,1,840011,2,6
