"","X","pubbel1","pubbel2","pubbel3","pubbel4","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"55699",55699,3,2,5,4,1,1,1,2,1,1,1,1,1,1,1,10,840,2,46,8,2,840002,0,1
"55700",55700,1,4,1,1,1,1,1,1,8,1,2,1,2,1,1,10,840,2,35,7,1,840003,53,3
"55701",55701,2,2,2,2,1,1,1,1,3,2,2,1,3,2,3,10,840,1,27,8,1,840005,0,6
"55702",55702,1,1,3,1,1,1,-1,1,7,3,2,1,3,2,1,3,840,1,22,1,1,840005,53,4
"55703",55703,3,2,5,3,1,2,-1,1,4,4,2,1,1,1,2,6,840,2,22,3,7,840008,-2,2
"55704",55704,2,1,2,2,1,1,1,2,5,2,1,1,1,1,1,10,840,2,27,7,1,840003,-2,2
"55705",55705,2,2,4,3,1,1,1,1,3,3,2,1,1,1,1,10,840,1,21,4,2,840003,53,6
"55706",55706,4,3,2,2,1,1,1,2,1,4,2,1,1,1,1,8,840,2,49,5,1,840008,12,4
"55707",55707,3,4,3,4,1,1,2,2,3,4,1,1,1,1,3,10,840,1,54,9,3,840008,62,6
"55708",55708,1,1,4,2,1,1,1,2,2,1,1,1,1,1,1,10,840,2,36,8,1,840003,53,3
"55709",55709,1,1,4,1,1,1,1,2,3,3,1,1,2,1,1,10,840,1,30,5,1,840002,64,6
"55710",55710,1,4,4,4,1,1,1,2,3,1,1,1,1,1,1,10,840,1,50,7,1,840003,62,6
"55711",55711,4,5,2,5,-1,1,2,1,4,7,2,1,1,1,2,8,840,2,48,9,3,840002,0,1
"55712",55712,2,3,3,2,1,1,1,2,1,3,1,1,3,1,2,10,840,2,54,8,1,840002,62,3
"55713",55713,3,3,2,4,1,1,1,2,3,6,2,1,1,1,2,10,840,2,61,8,3,840003,62,1
"55714",55714,3,4,2,4,1,-1,2,1,4,6,2,2,3,2,2,5,840,1,74,9,4,840002,-2,3
"55715",55715,3,2,2,4,1,1,1,2,1,5,1,1,1,1,1,10,840,2,55,8,2,840002,62,1
"55716",55716,1,4,2,4,1,1,1,2,1,1,1,1,2,1,1,10,840,1,29,3,1,840003,53,1
"55717",55717,2,3,3,3,1,1,1,1,1,3,2,1,2,1,2,10,840,2,21,3,5,840002,-2,1
"55718",55718,2,1,2,4,1,1,1,2,6,3,1,1,2,1,1,10,840,2,27,5,5,840005,64,1
"55719",55719,1,4,4,2,1,1,1,2,1,4,1,1,1,1,1,10,840,2,55,3,4,840003,53,1
"55720",55720,2,4,4,4,1,1,1,2,2,4,2,1,2,1,3,6,840,1,28,7,1,840002,0,6
"55721",55721,3,4,1,4,1,1,1,1,1,2,1,1,1,1,1,10,840,1,41,8,1,840005,0,6
"55722",55722,1,4,4,2,1,1,1,2,2,1,1,1,2,1,1,10,840,2,19,8,1,840002,53,6
"55723",55723,-1,4,3,4,1,1,-1,2,1,4,1,2,3,2,3,4,840,2,23,8,1,840002,62,6
"55724",55724,1,1,3,1,1,1,1,2,1,3,1,1,1,1,2,10,840,2,49,5,1,840005,64,1
"55725",55725,2,3,3,3,1,1,1,2,1,7,2,1,2,1,2,9,840,1,53,-1,1,840003,0,1
"55726",55726,4,2,1,5,1,1,1,2,1,7,2,1,1,2,4,8,840,1,40,7,1,840002,0,3
"55727",55727,3,2,2,3,1,1,2,1,2,7,2,1,1,1,3,10,840,2,49,9,1,840002,53,3
"55728",55728,4,1,4,4,1,1,1,2,2,1,1,1,1,1,1,10,840,1,55,9,3,840002,53,1
