"","X","country","pubbel1","pubbel2","pubbel3","pubbel4","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","sex","age","educ","wrkstat","ethnic","denom","marital"
"78999",78999,840,3,4,1,4,2,2,4,0,1,1,2,3,6,1,53,8,8,200,0,6
"79000",79000,840,2,4,1,4,2,1,4,1,1,2,1,2,9,2,29,7,3,1400,52,6
"79001",79001,840,1,1,5,1,2,1,1,2,1,1,2,1,10,1,38,7,3,1400,0,1
"79002",79002,840,2,4,2,2,2,2,2,1,1,3,1,1,10,1,48,3,1,1400,62,1
"79003",79003,840,2,2,4,4,2,1,3,2,1,3,1,1,10,2,47,5,1,1400,62,1
"79004",79004,840,4,5,5,1,2,1,4,0,2,1,1,4,5,1,54,6,1,1400,64,1
"79005",79005,840,3,4,4,4,2,1,7,0,1,1,2,2,8,1,61,4,8,1400,62,1
"79006",79006,840,2,4,1,4,2,1,3,2,1,2,1,2,10,2,32,4,5,1400,53,1
"79007",79007,840,3,5,1,1,2,1,7,0,2,3,2,4,1,1,58,7,4,1400,64,3
"79008",79008,840,3,5,1,5,2,1,3,1,2,3,2,4,1,1,36,8,1,1400,53,1
"79009",79009,840,3,4,1,4,2,1,6,1,1,3,1,2,10,2,44,5,8,1400,62,1
"79010",79010,840,2,1,2,4,2,1,6,1,1,2,1,2,9,1,70,5,4,1400,53,3
"79011",79011,840,2,1,2,2,2,3,6,0,1,3,1,3,10,1,56,7,1,1400,64,3
"79012",79012,840,3,5,1,5,1,1,7,0,2,2,2,3,1,2,77,3,4,1400,42,1
"79013",79013,840,3,5,1,4,2,1,7,1,1,2,1,2,8,2,71,6,4,1400,62,1
"79014",79014,840,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,2,36,3,1,1250,-5,1
"79015",79015,840,2,4,4,4,2,1,1,2,1,1,1,1,10,1,49,8,1,1400,53,1
"79016",79016,840,2,5,1,4,2,1,7,0,1,3,1,3,10,1,56,6,1,1400,0,1
"79017",79017,840,3,5,1,5,2,1,7,0,2,2,2,4,3,2,41,5,3,1400,0,3
"79018",79018,840,3,5,1,4,1,2,6,0,2,2,2,3,6,2,29,6,3,1400,0,6
"79019",79019,840,1,1,1,2,2,1,2,2,1,3,1,1,10,2,62,6,1,1400,62,1
"79020",79020,840,3,4,1,4,2,1,6,1,1,2,1,2,9,1,80,3,4,1400,62,1
"79021",79021,840,2,4,4,4,2,1,2,2,1,3,1,1,10,2,82,6,4,1400,62,5
"79022",79022,840,2,2,4,4,2,2,2,2,1,1,1,1,9,1,76,7,1,1400,62,1
"79023",79023,840,3,5,4,4,2,1,7,0,1,2,2,3,10,1,65,4,8,1400,0,1
"79024",79024,840,4,2,4,2,1,2,-2,0,1,3,1,4,8,2,53,5,1,1400,-2,3
"79025",79025,840,3,4,1,4,1,1,3,2,1,1,1,1,10,2,59,5,8,8001,53,3
"79026",79026,840,2,1,4,1,2,1,2,2,1,1,1,1,10,1,49,6,8,1400,64,6
"79027",79027,840,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,1,29,6,1,200,-2,6
"79028",79028,840,1,4,2,4,2,1,4,1,1,2,1,1,10,1,26,5,3,1400,62,6
"79029",79029,840,1,2,2,2,2,1,2,2,1,3,1,1,10,1,74,6,4,1400,64,1
"79030",79030,840,2,4,1,5,2,7,6,0,1,2,1,3,7,1,36,5,1,1400,0,3
"79031",79031,840,1,4,4,4,2,1,2,2,1,3,1,1,10,1,91,3,4,1400,62,5
"79032",79032,840,2,2,4,2,2,1,6,0,1,2,1,2,10,1,66,5,1,8000,0,3
"79033",79033,840,1,2,2,4,2,5,4,1,1,1,1,1,5,1,23,5,1,1400,53,1
"79034",79034,840,1,1,2,2,2,1,2,2,1,2,1,1,10,1,74,4,4,200,62,3
"79035",79035,840,1,2,1,2,2,1,2,2,1,1,1,1,10,2,62,6,5,1400,62,1
"79036",79036,840,2,4,4,2,2,1,2,1,1,2,1,2,10,2,85,4,4,1400,62,1
"79037",79037,840,2,5,2,2,2,1,2,2,1,3,1,1,10,2,18,3,8,1400,62,6
"79038",79038,840,4,5,1,5,2,1,7,0,2,2,3,4,1,1,51,7,3,1400,0,3
"79039",79039,840,2,1,1,2,2,1,7,0,1,1,1,2,9,2,80,5,4,1400,62,5
"79040",79040,840,2,4,4,4,2,3,2,2,1,2,1,2,10,2,52,7,5,1400,64,1
"79041",79041,840,3,5,1,2,2,1,7,0,2,1,2,3,5,1,45,5,1,1400,0,3
"79042",79042,840,3,4,1,4,2,1,5,1,1,3,1,2,9,2,55,6,5,1400,64,1
"79043",79043,840,1,1,1,1,1,3,3,0,2,3,1,1,10,1,28,4,1,1250,64,1
"79044",79044,840,1,4,2,2,2,1,2,2,1,2,1,1,10,1,55,6,8,1400,53,1
"79045",79045,840,3,5,1,5,2,3,7,0,2,3,1,4,1,2,58,7,3,1400,0,1
"79046",79046,840,2,4,4,2,2,1,2,2,1,2,1,1,10,1,69,5,4,1400,64,1
"79047",79047,840,-2,1,1,2,2,-2,6,1,1,2,1,2,5,2,41,5,5,1400,53,1
"79048",79048,840,4,5,1,5,2,1,2,0,1,1,2,1,10,1,52,7,3,8001,53,5
"79049",79049,840,2,4,5,1,2,1,2,2,1,1,1,1,10,1,65,7,4,1400,62,3
"79050",79050,840,2,4,4,2,2,1,4,1,1,3,1,1,10,2,50,6,3,1400,53,1
"79051",79051,840,3,1,1,4,2,1,6,0,1,1,1,1,10,1,51,7,3,200,62,6
"79052",79052,840,2,4,4,1,2,1,3,2,1,2,1,1,10,1,48,7,1,1400,62,1
"79053",79053,840,2,5,1,4,2,1,4,1,1,4,1,3,10,1,66,5,4,1400,64,6
"79054",79054,840,-5,-5,-5,-5,2,-5,-5,0,-5,-5,-5,2,-5,1,51,5,1,1400,-5,6
"79055",79055,840,2,4,1,4,2,5,7,0,2,2,2,3,3,1,53,4,8,1400,0,3
"79056",79056,840,1,4,5,1,2,1,1,2,1,1,1,1,10,2,65,4,5,1400,64,1
"79057",79057,840,2,2,2,2,2,1,1,0,1,1,1,1,10,1,76,7,4,1400,62,5
"79058",79058,840,1,5,5,1,2,1,3,1,1,1,1,1,10,1,46,4,1,1400,53,1
"79059",79059,840,1,2,4,2,2,3,1,2,1,1,1,1,10,2,25,8,1,1400,62,1
"79060",79060,840,3,5,5,5,2,1,4,1,1,1,1,2,10,1,58,5,1,1250,64,6
"79061",79061,840,1,1,5,1,2,1,-2,1,1,2,1,2,10,1,77,5,4,1400,62,1
"79062",79062,840,1,1,1,2,2,8,2,2,1,3,1,1,10,2,75,4,4,1400,62,5
"79063",79063,840,-2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,4,-2,1,19,4,8,1250,-2,6
"79064",79064,840,3,4,4,4,1,1,7,0,1,1,1,1,10,2,49,5,1,1250,64,1
"79065",79065,840,2,2,4,4,2,3,7,0,1,2,1,1,10,2,65,6,8,1400,64,3
"79066",79066,840,-5,-5,-5,-5,2,-5,-5,0,-5,-5,-5,4,-5,1,44,6,1,1400,-5,1
"79067",79067,840,3,4,1,2,2,1,7,1,1,3,1,1,10,1,52,5,1,1400,62,1
"79068",79068,840,2,4,1,4,2,6,6,1,1,4,1,2,10,1,52,6,1,200,62,6
"79069",79069,840,2,5,1,5,1,4,7,0,1,3,1,3,7,1,55,6,1,200,53,3
"79070",79070,840,3,2,1,4,2,1,7,0,1,2,2,3,9,2,67,4,4,1400,0,5
"79071",79071,840,3,2,1,4,2,5,7,0,1,2,1,2,9,1,43,7,1,1400,62,1
"79072",79072,840,1,2,1,1,2,1,2,2,1,4,1,1,10,1,29,6,1,1400,53,1
"79073",79073,840,4,4,2,5,1,10,7,0,1,2,1,3,10,1,53,5,8,1400,0,3
"79074",79074,840,4,2,4,4,2,6,7,0,1,1,2,1,7,1,31,9,3,1400,0,6
"79075",79075,840,1,1,5,1,2,1,2,2,1,2,1,1,10,2,65,5,4,1400,62,1
"79076",79076,840,4,4,2,5,1,3,7,0,1,1,2,4,7,2,59,6,3,1400,0,1
"79077",79077,840,1,4,5,2,2,1,3,2,1,3,1,2,10,1,40,7,1,1400,64,1
"79078",79078,840,3,4,2,5,2,1,7,1,1,2,2,3,7,1,64,6,8,1400,62,1
"79079",79079,840,2,4,2,4,2,2,2,2,1,1,1,2,10,1,35,7,1,8000,64,1
"79080",79080,840,1,2,1,2,2,3,2,2,1,2,1,1,10,2,20,4,1,1400,53,6
"79081",79081,840,2,4,5,2,2,1,3,2,1,2,1,1,10,2,73,6,4,1400,64,1
"79082",79082,840,2,4,2,4,2,1,2,2,1,2,1,1,10,1,36,7,1,1400,62,1
"79083",79083,840,2,4,5,2,2,1,2,2,1,1,1,1,10,2,38,5,5,1400,53,1
"79084",79084,840,2,4,4,4,2,1,7,0,1,2,2,3,8,2,56,7,1,8000,53,6
"79085",79085,840,1,4,4,4,2,1,1,2,1,1,1,1,10,2,36,8,5,1400,62,1
"79086",79086,840,1,4,4,1,2,1,2,2,1,1,1,1,10,2,19,4,1,1400,62,6
"79087",79087,840,2,2,4,2,2,6,3,0,1,2,1,3,7,1,48,7,3,1400,62,1
"79088",79088,840,2,4,1,4,1,1,2,2,1,2,1,1,10,2,61,5,4,1400,64,1
"79089",79089,840,2,5,1,4,2,1,3,2,1,1,1,1,10,2,32,8,8,1400,62,1
"79090",79090,840,2,5,1,5,2,1,5,1,1,2,2,2,6,1,32,8,1,1400,53,1
"79091",79091,840,1,2,2,2,2,1,1,2,1,1,1,1,10,2,65,8,4,200,62,5
"79092",79092,840,3,5,1,4,1,1,6,0,2,3,1,4,7,1,38,5,3,1400,62,1
"79093",79093,840,2,2,4,2,2,2,1,2,1,3,1,1,8,2,42,6,3,1250,53,1
"79094",79094,840,2,4,4,4,2,2,4,0,1,2,1,2,10,2,20,6,1,1400,64,6
"79095",79095,840,1,4,5,1,2,1,1,2,1,1,1,1,10,1,72,5,4,1400,62,1
"79096",79096,840,3,2,4,2,2,2,5,0,1,1,2,2,10,2,38,8,3,1250,0,6
"79097",79097,840,1,4,4,4,2,5,7,0,1,3,2,4,8,2,20,4,7,1400,0,6
"79098",79098,840,4,5,2,5,2,1,7,0,1,2,3,4,1,1,44,7,1,1400,0,1
"79099",79099,840,2,1,5,2,2,1,2,2,1,1,1,1,10,2,55,6,1,1400,62,1
"79100",79100,840,2,5,1,4,1,5,5,0,1,3,2,3,2,2,19,4,7,1400,0,6
"79101",79101,840,2,1,4,2,2,1,3,1,1,2,1,1,10,2,72,4,4,1400,62,1
"79102",79102,840,1,4,4,4,2,1,3,2,2,3,1,2,7,1,49,6,1,1400,62,3
"79103",79103,840,3,5,1,5,1,1,7,0,2,2,2,3,8,1,35,5,1,1400,62,6
"79104",79104,840,3,5,1,5,2,6,7,0,2,4,2,4,1,1,35,7,1,1400,0,1
"79105",79105,840,3,5,2,4,2,1,3,2,1,1,1,2,10,1,34,9,1,1250,64,1
"79106",79106,840,3,5,5,5,1,3,6,0,1,3,2,3,2,1,74,8,4,1400,53,1
"79107",79107,840,3,4,4,4,2,1,6,0,1,1,1,2,8,2,20,4,8,1400,62,1
"79108",79108,840,4,4,1,5,2,1,3,0,1,1,1,3,8,1,38,7,1,1400,12,1
"79109",79109,840,3,5,1,5,1,1,7,0,1,3,2,3,8,2,50,8,4,1400,0,3
"79110",79110,840,2,4,2,4,2,2,2,2,1,2,1,2,5,2,41,7,1,1400,64,6
"79111",79111,840,1,2,5,1,2,2,2,2,1,2,1,1,10,1,27,6,1,8001,53,1
"79112",79112,840,-5,-5,-5,-5,2,-5,-5,0,-5,-5,-5,4,-5,1,57,8,8,1400,-5,6
"79113",79113,840,1,4,2,2,2,1,6,1,1,1,1,1,10,2,63,5,3,1400,62,3
"79114",79114,840,2,2,4,2,2,1,2,2,1,2,1,1,10,2,52,5,2,1250,64,1
"79115",79115,840,2,2,5,4,2,1,4,1,1,1,1,2,6,1,19,4,7,1250,0,6
"79116",79116,840,3,5,4,4,2,1,2,1,2,3,2,3,2,1,29,6,1,1400,64,1
"79117",79117,840,3,4,4,5,1,1,7,0,1,2,2,2,8,2,26,7,7,200,0,1
"79118",79118,840,3,5,1,4,1,3,4,0,1,2,1,2,10,2,52,7,3,1400,0,3
"79119",79119,840,2,4,5,2,2,1,7,1,1,1,1,1,10,2,64,7,2,1400,62,3
"79120",79120,840,2,4,4,4,2,3,4,1,1,2,2,3,10,2,40,5,1,1250,64,6
"79121",79121,840,2,4,2,4,2,2,3,1,1,2,1,2,8,2,52,7,1,1250,42,1
"79122",79122,840,1,1,5,1,2,1,3,2,1,2,1,1,10,2,28,6,5,1400,64,1
"79123",79123,840,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,1,55,6,8,8001,-5,1
"79124",79124,840,2,1,4,2,2,3,4,1,1,3,1,2,10,1,66,7,4,1400,64,1
"79125",79125,840,1,4,4,4,2,1,2,2,1,2,1,1,10,2,41,7,1,1400,64,1
"79126",79126,840,2,4,2,4,2,6,3,2,1,3,1,2,9,2,59,6,1,1400,62,3
"79127",79127,840,3,5,4,4,2,1,7,0,1,2,2,3,7,1,34,8,1,1400,0,1
"79128",79128,840,1,4,2,4,2,1,6,1,1,2,1,2,10,2,24,5,1,1400,0,1
"79129",79129,840,1,1,4,4,1,5,5,1,1,1,1,1,10,2,46,4,1,200,-2,6
"79130",79130,840,3,4,4,4,2,2,5,0,1,2,1,3,8,2,39,7,1,1400,0,6
"79131",79131,840,3,1,1,1,2,1,4,1,1,2,1,3,9,1,54,7,1,1400,64,3
"79132",79132,840,1,4,4,1,2,1,2,2,1,1,1,1,10,2,68,5,4,1400,62,1
"79133",79133,840,2,4,4,2,1,2,6,0,1,2,1,2,9,1,69,5,1,1400,62,1
"79134",79134,840,2,1,5,1,2,1,2,2,1,2,1,1,10,2,36,7,1,1400,53,1
"79135",79135,840,2,5,2,4,2,2,3,1,1,1,1,2,9,2,67,7,1,1400,0,1
"79136",79136,840,2,1,4,1,2,1,1,2,1,2,1,1,10,1,67,7,4,1400,62,1
"79137",79137,840,2,4,2,2,2,6,2,2,1,3,1,2,9,1,45,6,3,1400,64,1
"79138",79138,840,2,4,4,4,2,1,1,2,1,1,1,1,10,2,57,6,3,1400,62,1
"79139",79139,840,4,5,1,4,2,1,1,2,1,1,1,1,10,1,38,5,3,1400,53,1
"79140",79140,840,3,5,1,5,2,1,2,2,2,3,2,4,1,2,41,7,3,1400,53,1
"79141",79141,840,2,4,4,4,2,2,7,0,2,2,2,3,4,2,46,5,1,8001,64,6
"79142",79142,840,2,1,1,1,2,1,3,2,1,2,1,2,10,2,43,5,3,1400,64,1
"79143",79143,840,2,4,2,4,2,1,7,1,1,2,1,2,10,2,55,6,1,1400,62,3
"79144",79144,840,3,4,4,4,1,6,7,1,2,2,2,1,6,2,19,4,1,8001,62,6
"79145",79145,840,2,5,2,4,2,1,3,2,1,2,1,2,9,1,47,8,1,1400,62,1
"79146",79146,840,4,5,1,5,2,5,7,0,2,2,3,4,1,1,18,4,7,1400,0,6
"79147",79147,840,3,5,1,5,2,1,5,0,2,1,2,4,2,2,43,8,1,1400,62,5
"79148",79148,840,2,1,4,2,2,1,1,2,1,1,1,1,10,1,38,7,1,1400,62,6
"79149",79149,840,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,1,-5,2,78,4,4,1400,-5,3
"79150",79150,840,2,4,5,2,2,1,1,2,1,1,2,1,10,1,53,5,1,1400,0,1
"79151",79151,840,3,5,1,5,1,1,7,0,2,3,2,4,2,2,28,5,1,1400,0,1
"79152",79152,840,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,2,24,4,8,200,-5,6
"79153",79153,840,1,4,5,2,2,1,1,2,1,2,1,1,10,2,43,6,1,1400,53,6
"79154",79154,840,3,5,2,5,2,3,6,0,2,3,1,-2,3,1,53,5,3,1400,0,1
"79155",79155,840,2,4,2,4,2,1,7,0,1,2,2,3,3,2,27,7,1,1400,62,6
"79156",79156,840,2,4,4,4,2,2,6,1,1,2,2,3,6,2,18,6,1,1400,0,6
"79157",79157,840,2,5,1,4,2,1,7,0,1,1,1,1,10,2,55,7,7,1400,64,3
"79158",79158,840,3,2,2,2,2,5,1,2,1,1,1,1,10,2,22,5,3,1400,53,6
"79159",79159,840,2,2,2,1,2,1,1,2,1,2,1,1,10,2,52,7,1,1400,62,1
"79160",79160,840,1,4,1,2,2,8,4,0,1,2,1,1,10,2,47,6,1,1400,-2,1
"79161",79161,840,4,4,5,5,2,6,7,0,2,1,2,4,1,2,40,8,1,200,0,6
"79162",79162,840,2,5,2,2,2,1,2,2,1,1,1,1,10,2,32,7,5,1400,62,1
"79163",79163,840,1,2,4,2,2,1,1,2,1,2,1,1,10,1,58,8,3,1400,62,1
"79164",79164,840,2,4,4,5,2,1,5,0,1,2,2,3,10,2,48,8,1,8001,0,1
"79165",79165,840,3,4,2,5,2,3,7,0,2,2,1,3,4,2,32,5,1,1400,0,4
"79166",79166,840,2,5,4,4,2,1,7,0,1,2,1,3,8,2,51,6,5,8001,0,1
"79167",79167,840,3,4,1,4,2,1,7,0,1,2,1,3,9,2,50,7,4,200,0,3
"79168",79168,840,3,4,1,5,2,1,3,1,1,2,1,3,9,1,42,7,1,1400,64,1
"79169",79169,840,4,-5,-5,-5,2,-5,-5,0,-5,-5,-5,3,-5,2,25,7,1,1400,-5,6
"79170",79170,840,3,5,4,5,2,1,4,1,2,2,1,2,7,1,28,7,1,8001,62,1
"79171",79171,840,3,5,1,5,2,3,2,1,1,4,1,2,8,1,26,8,8,1400,64,6
"79172",79172,840,2,4,2,5,2,1,6,0,1,1,1,2,10,1,56,6,1,1400,0,1
"79173",79173,840,2,1,5,1,2,1,3,1,1,3,1,2,10,2,49,4,1,1400,62,6
"79174",79174,840,3,4,4,4,2,1,4,1,2,2,1,2,8,1,64,8,4,1400,0,1
"79175",79175,840,3,4,5,1,2,2,6,1,1,2,1,1,10,1,52,8,1,1400,0,1
"79176",79176,840,2,4,2,2,2,1,2,2,1,1,1,1,10,2,27,7,1,1400,53,6
"79177",79177,840,2,4,4,4,1,6,7,1,1,3,1,1,6,1,22,5,7,1250,64,6
"79178",79178,840,3,5,1,5,2,1,7,0,1,2,2,3,6,2,27,7,1,1400,0,1
"79179",79179,840,3,5,4,4,2,1,7,0,1,2,2,3,1,2,72,7,4,1400,0,3
"79180",79180,840,2,5,2,4,2,2,2,2,1,1,1,1,6,2,61,8,1,1400,42,1
"79181",79181,840,2,5,4,2,2,2,7,0,1,1,1,3,6,2,33,5,1,1400,0,1
"79182",79182,840,2,2,4,2,2,5,2,2,1,2,1,1,10,2,29,8,1,200,62,1
"79183",79183,840,4,4,1,4,2,1,7,0,1,1,2,4,1,2,39,5,5,1400,0,1
"79184",79184,840,2,4,2,4,2,1,3,1,2,2,2,2,4,2,24,7,8,1400,62,6
"79185",79185,840,1,2,4,1,2,1,6,1,1,1,1,1,10,1,38,7,1,1400,62,3
"79186",79186,840,1,1,5,2,2,1,2,2,1,2,1,1,10,1,65,6,4,1400,62,1
"79187",79187,840,2,4,4,4,2,1,4,1,1,3,2,2,6,2,39,7,1,1400,62,1
"79188",79188,840,1,2,4,2,2,2,3,2,1,2,1,2,9,2,24,7,1,1400,64,1
"79189",79189,840,1,2,4,2,2,1,2,2,1,3,1,2,10,2,57,7,1,1400,53,1
"79190",79190,840,2,2,2,2,2,5,5,1,2,3,1,2,10,1,43,7,1,1400,62,1
"79191",79191,840,2,4,4,4,2,2,4,0,1,2,1,3,8,2,26,5,1,1400,0,6
"79192",79192,840,1,4,5,2,2,1,1,2,1,1,2,1,10,1,40,6,1,1400,53,1
"79193",79193,840,2,4,4,4,2,1,3,2,1,2,1,2,8,1,52,7,1,1400,64,3
"79194",79194,840,2,4,4,4,2,5,6,0,2,2,2,3,5,1,25,7,8,8000,0,6
"79195",79195,840,3,2,4,5,2,1,7,0,2,2,2,3,1,1,52,8,1,8000,62,6
"79196",79196,840,2,-5,-5,-5,2,-5,-5,2,-5,-5,-5,1,-5,2,36,8,1,200,-5,6
"79197",79197,840,4,5,1,4,2,1,4,0,2,2,2,4,2,1,35,7,1,1400,64,1
"79198",79198,840,1,5,4,4,2,1,7,0,1,4,2,1,10,2,26,5,5,1400,53,1
"79199",79199,840,2,4,2,4,2,3,7,1,2,3,2,-2,4,1,57,6,8,200,62,1
"79200",79200,840,1,5,5,2,2,1,2,2,1,3,1,1,10,2,25,7,1,1400,53,1
"79201",79201,840,1,2,4,2,2,2,2,2,1,1,1,1,10,2,26,5,8,1400,62,6
"79202",79202,840,3,5,1,5,2,2,4,1,1,1,1,3,10,2,26,8,1,1400,62,6
"79203",79203,840,2,1,5,4,2,3,1,2,2,3,1,1,5,2,34,5,1,1400,53,1
"79204",79204,840,2,2,4,1,2,6,1,2,1,1,1,1,7,1,28,7,1,1400,53,1
"79205",79205,840,3,5,1,5,1,1,7,0,1,1,2,4,5,2,53,4,4,1400,53,1
"79206",79206,840,1,1,5,1,2,1,1,2,1,2,1,1,10,2,63,5,4,1400,62,1
"79207",79207,840,2,-2,-2,-2,2,-2,3,1,1,2,1,2,10,2,29,7,7,1250,64,6
"79208",79208,840,3,5,4,4,2,2,7,0,2,1,2,3,1,1,54,8,1,1400,0,1
"79209",79209,840,1,4,1,4,2,1,2,2,1,2,1,1,10,2,69,6,4,1400,62,1
"79210",79210,840,2,4,2,4,2,1,2,2,1,2,1,1,10,2,65,5,1,1400,62,1
"79211",79211,840,3,5,4,5,2,4,3,1,1,1,2,2,3,2,54,8,3,1400,53,6
"79212",79212,840,2,2,4,2,2,1,2,2,1,1,1,1,10,2,51,7,1,1400,62,1
"79213",79213,840,4,5,1,5,2,1,7,0,2,2,2,3,1,1,38,6,1,1400,53,6
"79214",79214,840,1,2,5,4,2,2,4,2,1,1,1,2,10,1,54,5,3,1400,62,1
"79215",79215,840,1,4,4,2,2,1,1,2,1,1,1,1,10,2,60,6,1,1400,62,1
"79216",79216,840,1,4,4,4,2,5,6,0,1,2,1,1,8,1,45,5,1,1400,0,1
"79217",79217,840,2,2,5,4,2,2,2,2,1,2,1,1,10,2,62,7,1,1250,62,1
"79218",79218,840,3,4,4,4,2,5,6,2,1,2,1,2,5,2,54,5,8,1400,64,5
"79219",79219,840,3,5,2,4,2,1,6,0,1,1,1,3,5,1,47,5,8,1400,0,1
"79220",79220,840,2,4,4,4,1,2,3,2,1,2,1,3,7,1,31,6,1,1400,62,1
"79221",79221,840,2,4,2,2,2,1,2,2,1,2,1,2,10,2,24,7,1,8001,62,6
"79222",79222,840,2,4,2,5,2,5,7,1,2,1,1,1,7,2,56,5,5,8001,62,1
"79223",79223,840,3,4,4,4,2,1,3,-2,1,1,1,1,10,1,58,6,4,200,-2,3
"79224",79224,840,2,5,2,5,2,2,1,2,1,1,1,1,10,2,48,9,1,1400,64,6
"79225",79225,840,2,5,1,2,1,1,7,1,2,2,2,3,4,2,61,4,5,1400,64,1
"79226",79226,840,1,2,5,1,2,1,1,2,1,1,1,1,10,2,67,8,4,1400,62,1
"79227",79227,840,2,4,4,2,2,1,1,2,1,2,1,2,10,1,65,7,4,1400,64,1
"79228",79228,840,3,2,1,4,2,1,2,2,1,1,1,1,10,2,47,7,1,1250,62,1
"79229",79229,840,4,5,1,4,2,1,7,0,1,2,1,4,10,1,76,5,3,1400,0,3
"79230",79230,840,4,2,1,5,2,1,7,0,1,2,2,4,10,1,44,7,1,8001,53,1
"79231",79231,840,1,4,5,1,2,1,1,2,1,2,1,1,10,1,43,5,3,1400,62,1
"79232",79232,840,3,4,4,4,2,2,1,2,1,1,1,1,10,2,26,7,1,1400,53,6
"79233",79233,840,2,4,5,4,2,1,7,0,1,2,1,2,10,1,76,5,4,1400,0,1
"79234",79234,840,2,4,1,4,2,1,3,2,1,2,1,2,9,1,65,5,4,1400,62,1
"79235",79235,840,2,4,1,5,2,1,7,1,1,2,1,2,9,2,59,7,1,1400,62,1
"79236",79236,840,4,4,1,1,2,1,7,0,1,3,1,1,10,2,47,5,3,1400,0,1
"79237",79237,840,1,4,5,1,2,1,2,1,1,2,1,1,10,2,20,6,1,1400,53,6
"79238",79238,840,3,4,2,4,2,1,4,1,1,1,1,2,10,2,34,6,1,1250,64,1
"79239",79239,840,4,2,5,1,2,1,7,0,1,3,1,2,6,2,61,5,5,1400,64,1
"79240",79240,840,2,4,5,5,2,1,2,2,1,3,1,1,10,1,33,7,1,1400,62,1
"79241",79241,840,3,4,1,4,1,3,3,2,1,1,2,2,9,2,73,7,4,1400,62,3
"79242",79242,840,1,4,4,4,2,4,1,2,1,2,1,1,10,2,52,5,8,200,62,4
"79243",79243,840,3,2,2,5,2,4,7,0,1,2,2,3,9,1,44,6,1,1400,62,1
"79244",79244,840,3,1,1,1,2,1,7,1,1,1,1,1,10,2,77,8,4,1400,62,3
"79245",79245,840,4,-2,-2,-2,1,-2,7,0,2,3,3,4,1,1,22,5,1,1400,0,6
"79246",79246,840,3,4,1,5,2,5,7,0,2,4,2,4,1,2,47,6,1,1400,64,4
"79247",79247,840,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,1,-5,1,64,8,4,1400,-5,1
"79248",79248,840,2,2,5,2,2,1,2,2,1,2,1,2,10,2,22,6,3,1400,53,6
"79249",79249,840,2,4,2,2,2,1,2,2,1,1,1,1,9,2,73,5,8,200,53,3
"79250",79250,840,1,2,4,2,2,1,3,1,1,2,1,2,10,2,44,7,1,1400,62,1
"79251",79251,840,4,5,2,5,2,3,7,0,2,3,3,4,1,1,33,6,1,1250,0,1
"79252",79252,840,4,2,4,4,2,3,1,2,1,1,1,1,10,2,18,6,8,8000,49,6
"79253",79253,840,3,4,4,4,2,-2,5,0,1,2,1,1,10,1,48,7,1,1250,62,1
"79254",79254,840,1,4,5,2,2,5,4,0,1,1,1,2,10,2,27,4,1,1400,53,6
"79255",79255,840,3,1,1,1,2,1,6,0,1,2,1,1,10,2,50,6,1,200,0,1
"79256",79256,840,3,4,1,4,2,2,7,0,1,1,1,3,9,2,34,7,1,1400,0,6
"79257",79257,840,2,2,2,2,2,1,6,0,1,3,1,2,6,1,36,6,7,8001,0,1
"79258",79258,840,4,5,1,5,2,2,7,0,2,2,3,4,1,2,30,6,1,1400,0,1
"79259",79259,840,2,4,2,4,2,1,2,2,2,2,1,2,9,2,67,5,4,1400,64,3
"79260",79260,840,2,4,4,4,2,1,3,2,1,1,1,1,10,1,20,4,1,200,0,6
"79261",79261,840,3,5,2,4,2,1,6,0,1,2,2,3,6,2,43,7,1,1400,0,1
"79262",79262,840,2,4,1,4,2,5,1,2,1,2,1,1,10,1,50,5,8,1400,53,6
"79263",79263,840,2,4,1,5,2,1,2,2,1,2,1,1,10,2,30,6,5,1400,53,1
"79264",79264,840,3,4,2,4,1,2,7,1,1,2,2,3,8,1,59,8,1,1400,62,6
"79265",79265,840,1,1,5,1,2,1,2,1,1,1,1,1,10,2,29,5,7,1250,53,1
"79266",79266,840,4,5,1,5,1,6,7,0,1,3,3,4,1,1,37,7,1,1400,0,1
"79267",79267,840,3,4,4,4,2,4,6,0,1,3,2,3,4,1,36,7,3,1400,62,6
"79268",79268,840,2,2,4,2,2,1,3,1,1,1,1,2,10,1,37,5,1,1400,53,1
"79269",79269,840,1,1,4,4,2,5,4,1,2,1,1,1,10,1,33,5,1,8001,0,1
"79270",79270,840,3,1,4,2,2,3,2,1,1,2,-2,2,5,1,33,5,1,1400,62,1
"79271",79271,840,1,2,5,1,2,2,2,2,1,2,1,1,10,1,37,6,1,1400,62,3
"79272",79272,840,2,4,4,4,1,6,4,1,1,2,1,1,6,2,35,4,5,1250,0,4
"79273",79273,840,1,1,4,1,2,1,1,2,1,3,1,2,9,2,19,6,8,1400,53,6
